stationId,destination_stationId,hour,lat,lng,destination_lat,destination_lng,estimate_time,predict_time,delta_time
1992,323,6,10.872419,106.768248,10.875454,106.758689,128.4,166.8,226.065157
1992,323,17,10.872419,106.768248,10.875454,106.758689,144.6,187.2,200.307564
1992,323,9,10.872419,106.768248,10.875454,106.758689,139.2,215.4,254.498329
1992,323,5,10.872419,106.768248,10.875454,106.758689,142.2,150.6,188.977326
1992,323,16,10.872419,106.768248,10.875454,106.758689,189,176.4,282.024877
1992,323,15,10.872419,106.768248,10.875454,106.758689,137.4,202.2,336.415586
1992,323,5,10.872419,106.768248,10.875454,106.758689,122.4,150.6,248.28744
1992,323,16,10.872419,106.768248,10.875454,106.758689,144.6,176.4,145.682976
1992,323,10,10.872419,106.768248,10.875454,106.758689,172.8,197.4,163.233489
1992,323,16,10.872419,106.768248,10.875454,106.758689,171.6,176.4,249.707966
1992,323,5,10.872419,106.768248,10.875454,106.758689,122.4,150.6,173.044782
1992,323,14,10.872419,106.768248,10.875454,106.758689,162,153,223.594038
1992,323,8,10.872419,106.768248,10.875454,106.758689,159.6,154.8,186.01597
1992,323,16,10.872419,106.768248,10.875454,106.758689,144.6,176.4,534.211356
1992,323,6,10.872419,106.768248,10.875454,106.758689,136.2,166.8,100.51191
1992,323,6,10.872419,106.768248,10.875454,106.758689,191.4,166.8,151.366614
1992,323,16,10.872419,106.768248,10.875454,106.758689,143.4,176.4,257.633232
1992,323,16,10.872419,106.768248,10.875454,106.758689,154.8,176.4,195.730668
1992,323,18,10.872419,106.768248,10.875454,106.758689,144.6,174.6,191.93058
1992,323,17,10.872419,106.768248,10.875454,106.758689,161.4,187.2,178.367721
1992,323,17,10.872419,106.768248,10.875454,106.758689,182.4,187.2,297.490746
1992,323,14,10.872419,106.768248,10.875454,106.758689,162,153,153.086086
1992,323,9,10.872419,106.768248,10.875454,106.758689,144.6,215.4,225.067367
1992,323,17,10.872419,106.768248,10.875454,106.758689,161.4,187.2,135.068211
1992,323,14,10.872419,106.768248,10.875454,106.758689,187.8,153,134.004628
1992,323,17,10.872419,106.768248,10.875454,106.758689,144.6,187.2,244.009806
1992,323,13,10.872419,106.768248,10.875454,106.758689,141,156.6,112.862173
1992,323,8,10.872419,106.768248,10.875454,106.758689,183.6,154.8,125.118076
1992,323,11,10.872419,106.768248,10.875454,106.758689,183.6,165.6,135.097632
1992,323,18,10.872419,106.768248,10.875454,106.758689,137.4,174.6,157.876949
1992,323,8,10.872419,106.768248,10.875454,106.758689,162.6,154.8,173.34361
1992,323,14,10.872419,106.768248,10.875454,106.758689,178.2,153,170.172401
1992,323,18,10.872419,106.768248,10.875454,106.758689,176.4,174.6,293.304278
1992,323,8,10.872419,106.768248,10.875454,106.758689,183.6,154.8,153.926297
1992,323,17,10.872419,106.768248,10.875454,106.758689,144.6,187.2,169.216706
1992,323,12,10.872419,106.768248,10.875454,106.758689,165,145.8,132.108958
1992,323,17,10.872419,106.768248,10.875454,106.758689,144.6,187.2,185.577081
1992,323,7,10.872419,106.768248,10.875454,106.758689,146.4,174.6,161.266
1992,323,7,10.872419,106.768248,10.875454,106.758689,139.8,174.6,120.194174
1992,323,6,10.872419,106.768248,10.875454,106.758689,142.2,166.8,163.966572
1992,323,11,10.872419,106.768248,10.875454,106.758689,179.4,165.6,159.926111
1992,323,18,10.872419,106.768248,10.875454,106.758689,144.6,174.6,135.777184
1992,323,7,10.872419,106.768248,10.875454,106.758689,133.8,174.6,150.932069
1992,323,17,10.872419,106.768248,10.875454,106.758689,161.4,187.2,144.507318
1992,323,14,10.872419,106.768248,10.875454,106.758689,178.2,153,129.531295
1992,323,16,10.872419,106.768248,10.875454,106.758689,154.8,176.4,165.432266
