split,method,rows,mae,rmse,mape,p50,p90,p95,r2,mae_improvement_vs_api_pct,p95_improvement_vs_api_pct
val,additive_global,46,58.62324145652174,119.59391253475316,27.895402602507545,41.099203,83.7288235,103.55217425,-0.09641441051469068,4.5242006394860175,13.234842381863535
val,additive_time_bin,46,58.338457369565226,118.50837272692277,27.719438555778574,39.16217400000001,93.23194800000002,112.87491674999998,-0.07660069584865536,4.988009662524991,5.423425303425911
val,additive_smoothed_time_bin,46,58.336146789736965,118.93953715404845,27.89856391242293,39.19042446296295,87.44510735185187,106.1417000648148,-0.08444885606422647,4.991772751201232,11.065108939703194
val,ratio_global,46,59.48930132068679,120.07941035466122,28.355808190399856,43.548500888535045,85.12446877945862,104.39401674761143,-0.10533438409105211,3.113706170555254,12.529472383368287
val,ratio_time_bin,46,59.25775405494227,118.94364501584282,28.36333526565668,41.33854664435907,94.73182364214598,113.20821056044261,-0.0845237654351283,3.49081190093517,5.144162311551033
val,ratio_smoothed_time_bin,46,59.25775405494227,118.94364501584282,28.36333526565668,41.33854664435907,94.73182364214598,113.20821056044261,-0.0845237654351283,3.49081190093517,5.144162311551033
val,affine_global,46,54.516619403984045,115.9191955995415,26.310138569155413,33.08745302808374,84.99176141034323,97.56300343167547,-0.030071340959366255,11.212384598545015,18.253098674573593
val,affine_time_bin,46,54.49410764038584,114.7472330529703,26.10266694596241,36.10594075443407,87.3262237020468,102.97932437488748,-0.009348241513705835,11.249048020272511,13.714826603012487
val,affine_smoothed_time_bin,46,54.375730084510266,115.24012631905332,26.39897977015073,32.535577061389176,86.51033067145156,97.68415406388428,-0.01803811469405736,11.44184172278292,18.151587974530184
val,log_ratio_global,46,59.48930132068679,120.07941035466122,28.355808190399856,43.548500888535045,85.12446877945862,104.39401674761143,-0.10533438409105211,3.113706170555254,12.529472383368287
val,log_ratio_time_bin,46,59.25829702232345,118.94383199493176,28.36354308639781,41.33500896668612,94.73182364214598,113.20827950390594,-0.08452717517467256,3.489927605842358,5.1441045446281635
val,log_ratio_smoothed_time_bin,46,59.25829702232345,118.94383199493176,28.36354308639781,41.33500896668612,94.73182364214598,113.20827950390594,-0.08452717517467256,3.489927605842358,5.1441045446281635
test,api_eta,47,37.95616325531915,56.886930194400605,18.343605528486957,23.078712999999993,84.59286379999998,123.74958409999995,0.034030633935551835,0.0,0.0
test,additive_global,47,37.2492514893617,52.804426976735094,19.577862083516,30.09803500000001,68.79739079999999,107.95411109999996,0.16770166638888162,1.8624426320497083,12.764061483419558
test,additive_time_bin,47,37.96528059574468,51.79407305109586,20.451823736784625,32.084850999999986,64.841483,98.93603309999996,0.1992471614036908,-0.024020711377499986,20.051421732414536
test,additive_smoothed_time_bin,47,38.07266698876592,52.158878660804056,20.40220882899488,30.86786718518519,64.15192577777776,103.11106921111106,0.18792741518499967,-0.30694286106603,16.677643839361316
test,ratio_global,47,37.23709841553734,52.52949493173817,19.597359594107694,30.309478999999982,68.76431956369426,108.03876433359866,0.17634600905019637,1.8944613420088998,12.695654600104062
test,ratio_time_bin,47,38.01769794495869,51.2023574298048,20.68801920441882,32.32723572776186,66.06274239625141,97.27913174812815,0.21743887313255017,-0.162120415663773,21.390336415580574
test,ratio_smoothed_time_bin,47,38.01769794495869,51.2023574298048,20.68801920441882,32.32723572776186,66.06274239625141,97.27913174812815,0.21743887313255017,-0.162120415663773,21.390336415580574
test,affine_global,47,39.81247533361357,56.78104414394064,21.31459086745368,32.573539457229174,74.33661855289623,111.76940604513734,0.037623286558831404,-4.8906736589986615,9.680984499456278
test,affine_time_bin,47,41.75803553562641,56.609009130161105,23.00402825251889,31.128941305291335,77.3253638592347,100.85910181741234,0.043446063625189324,-10.016482052554334,18.49742158655677
test,affine_smoothed_time_bin,47,40.403360531456556,56.44251580663691,21.969475077011474,34.651294751411655,75.11054523780665,107.76435765774461,0.04906445002975257,-6.447430578469916,12.917398113708364
