feature,importance
cat__h3_pair_89415cb4bc3ffff->89415cb684bffff,0.00081328186
cat__h3_pair_89415ca640bffff->894143682c3ffff,0.00081190787
cat__h3_pair_89415ca640bffff->89415cb4e43ffff,0.00080770213
cat__h3_pair_89415cb4cd7ffff->89415ca7123ffff,0.0007911244
cat__origin_h3_89415cb4cd7ffff,0.00078528293
num__day_cos,0.0007839771
cat__h3_pair_89415cb46afffff->89415cb4b0fffff,0.000782106
cat__h3_pair_89415cb4a47ffff->89415cb4b97ffff,0.0007753808
cat__origin_h3_89414369647ffff,0.0007720547
cat__h3_pair_89415cb4d47ffff->89415cb5dc7ffff,0.00076881197
cat__h3_pair_894143682c3ffff->89415cb4bc3ffff,0.00076553796
num__day_of_week_num,0.00075970875
cat__h3_pair_89415cb4193ffff->89415cb4cd7ffff,0.00075771735
cat__destination_h3_89415cb4ba3ffff,0.0007564959
cat__h3_pair_89415cb4b97ffff->89415cb46afffff,0.0007559614
cat__h3_pair_89415ca640bffff->89415cb4d5bffff,0.0007543307
cat__h3_pair_89415cb4ba3ffff->89414369617ffff,0.00075206364
cat__h3_pair_89415cb4ba3ffff->89415cb4987ffff,0.00074155675
cat__h3_pair_89415cb46afffff->89415cb4d5bffff,0.0007413762
cat__h3_pair_89415cb4d47ffff->8941436945bffff,0.0007326416
cat__origin_h3_89415cb5db3ffff,0.000730846
cat__h3_pair_89415cb687bffff->89414369647ffff,0.0007303163
cat__h3_pair_89415cb4a47ffff->89415cb684bffff,0.00070955267
cat__h3_pair_89415cb4cd7ffff->89415cb5dc7ffff,0.00070211646
cat__h3_pair_89415cb4bc3ffff->89415cb5db3ffff,0.00069255714
cat__h3_pair_89415cb5dc7ffff->894143682c3ffff,0.0006870911
cat__origin_h3_8941436945bffff,0.00068518217
cat__h3_pair_89415cb4cd7ffff->89414368657ffff,0.00066785055
cat__h3_pair_89414369617ffff->89415cb4987ffff,0.0006600218
