h3_pair,count,origin_h3,destination_h3,actual_eta_mean,baseline_mae,residual_mae,residual_improvement_vs_baseline,residual_p90_abs_error
89415cb4b0fffff->89415cb4e43ffff,39,89415cb4b0fffff,89415cb4e43ffff,1571.2564102564102,436.53846153846155,135.75994619956384,300.7785153388977,236.6751770019532
89415cb687bffff->89415cb4193ffff,28,89415cb687bffff,89415cb4193ffff,868.5,371.14285714285717,135.7332389993327,235.40961814352445,234.8632019042969
89415cb5dc7ffff->89415cb4e43ffff,13,89415cb5dc7ffff,89415cb4e43ffff,678.3076923076923,405.6923076923077,135.6201292184683,270.07217847383936,333.4028991699219
89415cb4e3bffff->89415ca7123ffff,32,89415cb4e3bffff,89415ca7123ffff,2815.03125,487.28125,135.5988287080545,351.6824212919455,230.27553100585942
89414369617ffff->89415cb5dc7ffff,34,89414369617ffff,89415cb5dc7ffff,2498.6470588235293,432.11764705882354,135.5275473875158,296.5900996713077,262.9228515625
89415ca640bffff->89415cb4ba3ffff,23,89415ca640bffff,89415cb4ba3ffff,935.304347826087,335.82608695652175,135.50097836100537,200.32510859551638,278.9756103515625
89414369647ffff->89415cb4d47ffff,55,89414369647ffff,89415cb4d47ffff,1692.5272727272727,503.03636363636366,135.41618100079623,367.6201826355674,254.77262268066409
89415cb4d5bffff->89415cb4193ffff,34,89415cb4d5bffff,89415cb4193ffff,1409.6764705882354,469.3235294117647,135.32845446292092,333.9950749488438,269.4716400146484
894143682c3ffff->89415cb4d47ffff,28,894143682c3ffff,89415cb4d47ffff,2338.0,417.92857142857144,135.17995048553817,282.7486209430333,294.4831726074219
89415cb4bc3ffff->89415cb4d47ffff,19,89415cb4bc3ffff,89415cb4d47ffff,1186.0526315789473,525.7368421052631,135.17692641208046,390.5599156931827,247.96307373046875
89415cb4a47ffff->8941436945bffff,27,89415cb4a47ffff,8941436945bffff,1849.2962962962963,456.9259259259259,135.17553847807426,321.75038744785167,271.30167236328134
89415cb687bffff->89415cb4bc3ffff,24,89415cb687bffff,89415cb4bc3ffff,2164.3333333333335,400.7083333333333,135.12920903166136,265.579124301672,303.2244995117187
89415cb4a47ffff->89414368657ffff,25,89415cb4a47ffff,89414368657ffff,2499.96,417.12,135.1002032470703,282.01979675292966,295.39094238281257
